|Assets                         |Constants                  |Fonts   |Functions                             |Objects                  |Sounds                    |Sprites                        |Variables               |
|sndMutant4Dead                 |                           |        |                                      |                         |                          |sprSaplingIdle                 |                        |
|sndMutant4Hurt                 |                           |        |                                      |                         |                          |sprSaving                      |                        |
|sndMutant4IDPD                 |                           |        |                                      |                         |                          |sprSawnOffShotgun              |                        |
|sndMutant4LowA                 |                           |        |                                      |                         |                          |sprScorch                      |                        |
|sndMutant4LowH                 |                           |        |                                      |                         |                          |sprScorchGreen                 |                        |
|sndMutant4Slct                 |                           |        |                                      |                         |                          |sprScorchTop                   |                        |
|sndMutant4Spch                 |                           |        |                                      |                         |                          |sprScorchmark                  |                        |
|sndMutant4Thrn                 |                           |        |                                      |                         |                          |sprScoreSplat                  |                        |
|sndMutant4Valt                 |                           |        |                                      |                         |                          |sprScorpionBullet              |                        |
|sndMutant4Wrld                 |                           |        |                                      |                         |                          |sprScorpionBulletHit           |                        |
|sndMutant5Chst                 |                           |        |                                      |                         |                          |sprScorpionDead                |                        |
|sndMutant5Cnfm                 |                           |        |                                      |                         |                          |sprScorpionFire                |                        |
|sndMutant5Cptn                 |                           |        |                                      |                         |                          |sprScorpionHurt                |                        |
|sndMutant5Crwn                 |                           |        |                                      |                         |                          |sprScorpionIdle                |                        |
|sndMutant5Dead                 |                           |        |                                      |                         |                          |sprScorpionWalk                |                        |
|sndMutant5Hurt                 |                           |        |                                      |                         |                          |sprScrapBossCharge             |                        |
|sndMutant5IDPD                 |                           |        |                                      |                         |                          |sprScrapBossDead               |                        |
|sndMutant5LowA                 |                           |        |                                      |                         |                          |sprScrapBossFire               |                        |
|sndMutant5LowH                 |                           |        |                                      |                         |                          |sprScrapBossHurt               |                        |
|sndMutant5Slct                 |                           |        |                                      |                         |                          |sprScrapBossHurtSpin           |                        |
|sndMutant5Spch                 |                           |        |                                      |                         |                          |sprScrapBossIdle               |                        |
|sndMutant5Thrn                 |                           |        |                                      |                         |                          |sprScrapBossIntro              |                        |
|sndMutant5Valt                 |                           |        |                                      |                         |                          |sprScrapBossMissileHurt        |                        |
|sndMutant5Wrld                 |                           |        |                                      |                         |                          |sprScrapBossMissileIdle        |                        |
|sndMutant6Chst                 |                           |        |                                      |                         |                          |sprScrapBossMissileTrail       |                        |
|sndMutant6Cnfm                 |                           |        |                                      |                         |                          |sprScrapBossSleep              |                        |
|sndMutant6Cptn                 |                           |        |                                      |                         |                          |sprScrapBossSleepHurt          |                        |
|sndMutant6Crwn                 |                           |        |                                      |                         |                          |sprScrapBossStop               |                        |
|sndMutant6Dead                 |                           |        |                                      |                         |                          |sprScrapBossWalk               |                        |
|sndMutant6Hurt                 |                           |        |                                      |                         |                          |sprScrapDecal                  |                        |
|sndMutant6IDPD                 |                           |        |                                      |                         |                          |sprScrewDriver                 |                        |
|sndMutant6LowA                 |                           |        |                                      |                         |                          |sprSecretBackCol               |                        |
|sndMutant6LowH                 |                           |        |                                      |                         |                          |sprSecretShadCol               |                        |
|sndMutant6No                   |                           |        |                                      |                         |                          |sprSeeker                      |                        |
|sndMutant6Slct                 |                           |        |                                      |                         |                          |sprSeekerPistol                |                        |
|sndMutant6Spch                 |                           |        |                                      |                         |                          |sprSeekerShotgun               |                        |
|sndMutant6Thrn                 |                           |        |                                      |                         |                          |sprSelectMask                  |                        |
|sndMutant6Valt                 |                           |        |                                      |                         |                          |sprSelected                    |                        |
|sndMutant6Wrld                 |                           |        |                                      |                         |                          |sprSentryGun                   |                        |
|sndMutant7Chst                 |                           |        |                                      |                         |                          |sprSentryGunGun                |                        |
|sndMutant7Cnfm                 |                           |        |                                      |                         |                          |sprSentryGunHurt               |                        |
|sndMutant7Cptn                 |                           |        |                                      |                         |                          |sprSentryGunIdle               |                        |
|sndMutant7Crwn                 |                           |        |                                      |                         |                          |sprServer                      |                        |
|sndMutant7Dead                 |                           |        |                                      |                         |                          |sprServerDead                  |                        |
|sndMutant7Hurt                 |                           |        |                                      |                         |                          |sprServerHurt                  |                        |
|sndMutant7IDPD                 |                           |        |                                      |                         |                          |sprSewerDecal                  |                        |
|sndMutant7LowA                 |                           |        |                                      |                         |                          |sprSewerPipe                   |                        |
|sndMutant7LowH                 |                           |        |                                      |                         |                          |sprSewerPipeDead               |                        |
|sndMutant7Slct                 |                           |        |                                      |                         |                          |sprSewerPipeHurt               |                        |
|sndMutant7Spch                 |                           |        |                                      |                         |                          |sprShank                       |                        |
|sndMutant7Thrn                 |                           |        |                                      |                         |                          |sprSharpTeeth                  |                        |
|sndMutant7Valt                 |                           |        |                                      |                         |                          |sprShield                      |                        |
|sndMutant7Wrld                 |                           |        |                                      |                         |                          |sprShieldB                     |                        |
|sndMutant8Chst                 |                           |        |                                      |                         |                          |sprShieldBDisappear            |                        |
|sndMutant8Cnfm                 |                           |        |                                      |                         |                          |sprShieldDisappear             |                        |
|sndMutant8Cptn                 |                           |        |                                      |                         |                          |sprShielderDead                |                        |
|sndMutant8Crwn                 |                           |        |                                      |                         |                          |sprShielderHurt                |                        |
|sndMutant8Dead                 |                           |        |                                      |                         |                          |sprShielderIdle                |                        |
|sndMutant8Hurt                 |                           |        |                                      |                         |                          |sprShielderShieldAppear        |                        |
|sndMutant8LowA                 |                           |        |                                      |                         |                          |sprShielderShieldDisappear     |                        |
|sndMutant8LowH                 |                           |        |                                      |                         |                          |sprShielderWalk                |                        |
|sndMutant8Slct                 |                           |        |                                      |                         |                          |sprShotIcon                    |                        |
|sndMutant8Spch                 |                           |        |                                      |                         |                          |sprShotIconBG                  |                        |
|sndMutant8Thrn                 |                           |        |                                      |                         |                          |sprShotShell                   |                        |
|sndMutant8Valt                 |                           |        |                                      |                         |                          |sprShotShellBig                |                        |
|sndMutant8Wrld                 |                           |        |                                      |                         |                          |sprShotgun                     |                        |
|sndMutant9Chst                 |                           |        |                                      |                         |                          |sprShovel                      |                        |
|sndMutant9Cnfm                 |                           |        |                                      |                         |                          |sprSideArt                     |                        |
|sndMutant9Cptn                 |                           |        |                                      |                         |                          |sprSkillIcon                   |                        |
|sndMutant9Crwn                 |                           |        |                                      |                         |                          |sprSkillIconHUD                |                        |
|sndMutant9Dead                 |                           |        |                                      |                         |                          |sprSkillSelected               |                        |
|sndMutant9Hurt                 |                           |        |                                      |                         |                          |sprSkinSelect                  |                        |
|sndMutant9IDPD                 |                           |        |                                      |                         |                          |sprSlash                       |                        |
|sndMutant9LowA                 |                           |        |                                      |                         |                          |sprSlice                       |                        |
|sndMutant9LowH                 |                           |        |                                      |                         |                          |sprSlider                      |                        |
|sndMutant9Slct                 |                           |        |                                      |                         |                          |sprSliderEnd                   |                        |
|sndMutant9Spch                 |                           |        |                                      |                         |                          |sprSlugBullet                  |                        |
|sndMutant9Thrn                 |                           |        |                                      |                         |                          |sprSlugDisappear               |                        |
|sndMutant9Valt                 |                           |        |                                      |                         |                          |sprSlugHit                     |                        |
|sndMutant9Wrld                 |                           |        |                                      |                         |                          |sprSlugger                     |                        |
|sndNadeReload                  |                           |        |                                      |                         |                          |sprSmallChestFade              |                        |
|sndNecromancerDead             |                           |        |                                      |                         |                          |sprSmallChestPickup            |                        |
|sndNecromancerHurt             |                           |        |                                      |                         |                          |sprSmallExplosion              |                        |
|sndNecromancerRevive           |                           |        |                                      |                         |                          |sprSmallGenerator              |                        |
|sndNoSelect                    |                           |        |                                      |                         |                          |sprSmallGeneratorDead          |                        |
|sndNothing2Appear              |                           |        |                                      |                         |                          |sprSmallGeneratorHurt          |                        |
|sndNothing2Ball                |                           |        |                                      |                         |                          |sprSmartGun                    |                        |
|sndNothing2Beam                |                           |        |                                      |                         |                          |sprSmg                         |                        |
|sndNothing2Dead                |                           |        |                                      |                         |                          |sprSmoke                       |                        |
|sndNothing2DeadStart           |                           |        |                                      |                         |                          |sprSmokeOLD                    |                        |
|sndNothing2HalfHP              |                           |        |                                      |                         |                          |sprSniperDead                  |                        |
|sndNothing2Hurt                |                           |        |                                      |                         |                          |sprSniperGun                   |                        |
|sndNothing2Taunt               |                           |        |                                      |                         |                          |sprSniperHurt                  |                        |
|sndNothingBeamEnd              |                           |        |                                      |                         |                          |sprSniperIdle                  |                        |
|sndNothingBeamLoop             |                           |        |                                      |                         |                          |sprSniperWalk                  |                        |
|sndNothingBeamStart            |                           |        |                                      |                         |                          |sprSnowBanditDead              |                        |
|sndNothingBeamWarn             |                           |        |                                      |                         |                          |sprSnowBanditGun               |                        |
|sndNothingDeath1               |                           |        |                                      |                         |                          |sprSnowBanditHurt              |                        |
|sndNothingDeath2               |                           |        |                                      |                         |                          |sprSnowBanditIdle              |                        |
|sndNothingFire                 |                           |        |                                      |                         |                          |sprSnowBanditWalk              |                        |
|sndNothingFootstep             |                           |        |                                      |                         |                          |sprSnowBotCarHurt              |                        |
|sndNothingGenerators           |                           |        |                                      |                         |                          |sprSnowBotCarIdle              |                        |
|sndNothingHurtHigh             |                           |        |                                      |                         |                          |sprSnowBotCarLift              |                        |
|sndNothingHurtLow              |                           |        |                                      |                         |                          |sprSnowBotCarThrow             |                        |
|sndNothingHurtMid              |                           |        |                                      |                         |                          |sprSnowBotCarWalk              |                        |
|sndNothingLowHP                |                           |        |                                      |                         |                          |sprSnowBotDead                 |                        |
|sndNothingMidHP                |                           |        |                                      |                         |                          |sprSnowBotFire                 |                        |
|sndNothingRise                 |                           |        |                                      |                         |                          |sprSnowBotHurt                 |                        |
|sndNothingSmallball            |                           |        |                                      |                         |                          |sprSnowBotIdle                 |                        |
|sndNothingStart                |                           |        |                                      |                         |                          |sprSnowBotRedCarHurt           |                        |
|sndNothingTaunt                |                           |        |                                      |                         |                          |sprSnowBotRedCarIdle           |                        |
|sndNukeExplosion               |                           |        |                                      |                         |                          |sprSnowBotRedCarLift           |                        |
|sndNukeFire                    |                           |        |                                      |                         |                          |sprSnowBotRedCarThrow          |                        |
|sndOasisBossDead               |                           |        |                                      |                         |                          |sprSnowBotRedCarWalk           |                        |
|sndOasisBossFire               |                           |        |                                      |                         |                          |sprSnowBotWalk                 |                        |
|sndOasisBossHalfHP             |                           |        |                                      |                         |                          |sprSnowFlake                   |                        |
|sndOasisBossHurt               |                           |        |                                      |                         |                          |sprSnowFloor                   |                        |
|sndOasisBossIntro              |                           |        |                                      |                         |                          |sprSnowMan                     |                        |
|sndOasisBossMelee              |                           |        |                                      |                         |                          |sprSnowManDead                 |                        |
|sndOasisChest                  |                           |        |                                      |                         |                          |sprSnowManHurt                 |                        |
|sndOasisCrabAttack             |                           |        |                                      |                         |                          |sprSnowTankDead                |                        |
|sndOasisDeath                  |                           |        |                                      |                         |                          |sprSnowTankExplode             |                        |
|sndOasisExplosion              |                           |        |                                      |                         |                          |sprSnowTankHurt                |                        |
|sndOasisExplosionSmall         |                           |        |                                      |                         |                          |sprSnowTankIdle                |                        |
|sndOasisHorn                   |                           |        |                                      |                         |                          |sprSnowTankWalk                |                        |
|sndOasisHurt                   |                           |        |                                      |                         |                          |sprSodaCan                     |                        |
|sndOasisMelee                  |                           |        |                                      |                         |                          |sprSodaMachine                 |                        |
|sndOasisPopo                   |                           |        |                                      |                         |                          |sprSodaMachineDead             |                        |
|sndOasisPortal                 |                           |        |                                      |                         |                          |sprSodaMachineHurt             |                        |
|sndOasisShoot                  |                           |        |                                      |                         |                          |sprSpiderDead                  |                        |
|sndPartyHorn                   |                           |        |                                      |                         |                          |sprSpiderHurt                  |                        |
|sndPickupDisappear             |                           |        |                                      |                         |                          |sprSpiderIdle                  |                        |
|sndPillarBreak                 |                           |        |                                      |                         |                          |sprSpiderWalk                  |                        |
|sndPistol                      |                           |        |                                      |                         |                          |sprSpiral                      |                        |
|sndPizzaBoxBreak               |                           |        |                                      |                         |                          |sprSpiralIDPD                  |                        |
|sndPlantFire                   |                           |        |                                      |                         |                          |sprSpiralIDPD2                 |                        |
|sndPlantFireTB                 |                           |        |                                      |                         |                          |sprSpiralProto                 |                        |
|sndPlantPotBreak               |                           |        |                                      |                         |                          |sprSpiralStar                  |                        |
|sndPlantPower                  |                           |        |                                      |                         |                          |sprSplinter                    |                        |
|sndPlantSnare                  |                           |        |                                      |                         |                          |sprSplinterGun                 |                        |
|sndPlantSnareTB                |                           |        |                                      |                         |                          |sprSplinterPistol              |                        |
|sndPlantSnareTrapper           |                           |        |                                      |                         |                          |sprSpookyBanditDead            |                        |
|sndPlantSnareTrapperTB         |                           |        |                                      |                         |                          |sprSpookyBanditHurt            |                        |
|sndPlantTBKill                 |                           |        |                                      |                         |                          |sprSpookyBanditIdle            |                        |
|sndPlantUltraA                 |                           |        |                                      |                         |                          |sprSpookyBanditWalk            |                        |
|sndPlantUltraB                 |                           |        |                                      |                         |                          |sprStats                       |                        |
|sndPlasma                      |                           |        |                                      |                         |                          |sprSteroidsMenu                |                        |
|sndPlasmaBig                   |                           |        |                                      |                         |                          |sprSteroidsMenuDeselect        |                        |
|sndPlasmaBigExplode            |                           |        |                                      |                         |                          |sprSteroidsMenuSelect          |                        |
|sndPlasmaBigExplodeUpg         |                           |        |                                      |                         |                          |sprSteroidsMenuSelected        |                        |
|sndPlasmaBigUpg                |                           |        |                                      |                         |                          |sprSteroidsTB                  |                        |
|sndPlasmaHit                   |                           |        |                                      |                         |                          |sprStickyGrenade               |                        |
|sndPlasmaHuge                  |                           |        |                                      |                         |                          |sprStickyNader                 |                        |
|sndPlasmaHugeUpg               |                           |        |                                      |                         |                          |sprStreetLight                 |                        |
|sndPlasmaMinigun               |                           |        |                                      |                         |                          |sprStreetLightDead             |                        |
|sndPlasmaMinigunUpg            |                           |        |                                      |                         |                          |sprStreetLightHurt             |                        |
|sndPlasmaReload                |                           |        |                                      |                         |                          |sprStrongSpirit                |                        |
|sndPlasmaReloadUpg             |                           |        |                                      |                         |                          |sprStrongSpiritRefill          |                        |
|sndPlasmaRifle                 |                           |        |                                      |                         |                          |sprSuperBazooka                |                        |
|sndPlasmaRifleUpg              |                           |        |                                      |                         |                          |sprSuperCrossbow               |                        |
|sndPlasmaUpg                   |                           |        |                                      |                         |                          |sprSuperDiscGun                |                        |
|sndPlayerDeath                 |                           |        |                                      |                         |                          |sprSuperFireBallerDead         |                        |
|sndPlayerHit                   |                           |        |                                      |                         |                          |sprSuperFireBallerFire         |                        |
|sndPopPop                      |                           |        |                                      |                         |                          |sprSuperFireBallerHurt         |                        |
|sndPopPopUpg                   |                           |        |                                      |                         |                          |sprSuperFireBallerIdle         |                        |
|sndPopgun                      |                           |        |                                      |                         |                          |sprSuperFlakBullet             |                        |
|sndPortalAppear                |                           |        |                                      |                         |                          |sprSuperFlakCannon             |                        |
|sndPortalClose                 |                           |        |                                      |                         |                          |sprSuperFlakHit                |                        |
|sndPortalFlyby1                |                           |        |                                      |                         |                          |sprSuperFrogDead               |                        |
|sndPortalFlyby2                |                           |        |                                      |                         |                          |sprSuperFrogHurt               |                        |
|sndPortalFlyby3                |                           |        |                                      |                         |                          |sprSuperFrogIdle               |                        |
|sndPortalFlyby4                |                           |        |                                      |                         |                          |sprSuperFrogWalk               |                        |
|sndPortalLightning1            |                           |        |                                      |                         |                          |sprSuperMimicDead              |                        |
|sndPortalLightning2            |                           |        |                                      |                         |                          |sprSuperMimicFire              |                        |
|sndPortalLightning3            |                           |        |                                      |                         |                          |sprSuperMimicHurt              |                        |
|sndPortalLightning4            |                           |        |                                      |                         |                          |sprSuperMimicIdle              |                        |
|sndPortalLightning5            |                           |        |                                      |                         |                          |sprSuperMimicTell              |                        |
|sndPortalLightning6            |                           |        |                                      |                         |                          |sprSuperPlasmaCannon           |                        |
|sndPortalLightning7            |                           |        |                                      |                         |                          |sprSuperShotgun                |                        |
|sndPortalLightning8            |                           |        |                                      |                         |                          |sprSuperSlugger                |                        |
|sndPortalLoop                  |                           |        |                                      |                         |                          |sprSweat                       |                        |
|sndPortalOld                   |                           |        |                                      |                         |                          |sprSword                       |                        |
|sndPortalOpen                  |                           |        |                                      |                         |                          |sprTV                          |                        |
|sndPortalStrikeEmpty           |                           |        |                                      |                         |                          |sprTV1A                        |                        |
|sndPortalStrikeFire            |                           |        |                                      |                         |                          |sprTV1B                        |                        |
|sndPortalStrikeFireButt        |                           |        |                                      |                         |                          |sprTV1C                        |                        |
|sndPortalStrikeLoop            |                           |        |                                      |                         |                          |sprTV2A                        |                        |
|sndPutDownPad                  |                           |        |                                      |                         |                          |sprTV2B                        |                        |
|sndQuadMachinegun              |                           |        |                                      |                         |                          |sprTV2C                        |                        |
|sndRadMaggotDie                |                           |        |                                      |                         |                          |sprTV3A                        |                        |
|sndRadPickup                   |                           |        |                                      |                         |                          |sprTV3B                        |                        |
|sndRatDie                      |                           |        |                                      |                         |                          |sprTV3C                        |                        |
|sndRatHit                      |                           |        |                                      |                         |                          |sprTV4A                        |                        |
|sndRatKingDie                  |                           |        |                                      |                         |                          |sprTV4B                        |                        |
|sndRatKingHit                  |                           |        |                                      |                         |                          |sprTV4C                        |                        |
|sndRatKingVomit                |                           |        |                                      |                         |                          |sprTVPause                     |                        |
|sndRatMelee                    |                           |        |                                      |                         |                          |sprTable1                      |                        |
|sndRatkingCharge               |                           |        |                                      |                         |                          |sprTable1Dead                  |                        |
|sndRatkingChargeEnd            |                           |        |                                      |                         |                          |sprTable1Hurt                  |                        |
|sndRavenDie                    |                           |        |                                      |                         |                          |sprTable2                      |                        |
|sndRavenHit                    |                           |        |                                      |                         |                          |sprTable2Dead                  |                        |
|sndRavenLand                   |                           |        |                                      |                         |                          |sprTable2Hurt                  |                        |
|sndRavenLift                   |                           |        |                                      |                         |                          |sprTangle                      |                        |
|sndRavenScreech                |                           |        |                                      |                         |                          |sprTangleB                     |                        |
